The **National Defence Act** is a foundational piece of legislation in Canada that establishes the structure, authority, and operational framework of the **Canadian Forces**, defines key legal and administrative terms, and outlines the procedures governing military personnel, discipline, justice, and service conduct. Below is a **detailed and comprehensive summary** of the Act, based on the provided text.

---

## 🏛️ **Overview of the National Defence Act**

The *National Defence Act* (NDA) serves as the primary statute governing the Canadian Armed Forces (CAF), including the **regular force**, **reserve force**, and any **special forces**. It establishes the **Department of National Defence (DND)**, defines the roles and responsibilities of key officials, sets out the legal framework for **military justice**, and provides definitions for critical terms used throughout the Act and the **Code of Service Discipline** (CSD).

The Act also integrates with other laws such as the **Criminal Code**, particularly in relation to **serious offences**, **terrorism**, **criminal organizations**, and **mental health** issues.

---

## 🔍 Key Provisions and Definitions

### 1. **Citation and Scope**
- The Act is officially titled: **"The National Defence Act"**.
- It applies to **all aspects of the Canadian Forces**, including personnel, equipment, operations, discipline, and justice.

---

### 2. **Core Definitions (Key Terms)**

| Term | Meaning |
|------|--------|
| **Aircraft** | Flying machines (e.g., aeroplanes, helicopters, gliders, balloons, kites) that derive lift from aerodynamic forces or buoyancy. Includes guided missiles. |
| **Aircraft Material** | Engines, armaments, ammunition, instruments, gear, lubricants, and components used in aircraft operations. |
| **Civil Court** | Any court of ordinary or summary jurisdiction in Canada (e.g., provincial courts). |
| **Civil Custody** | Confinement by police or civil authorities, including in a civil prison (for sentences under 2 years). |
| **Civil Prison** | A place where individuals sentenced by a civil court to less than 2 years’ imprisonment are held. Applies both within and outside Canada. |
| **Code of Service Discipline (CSD)** | The internal military code governing conduct, offences, and punishments for members of the Canadian Forces. |
| **Court Martial** | A military tribunal; includes General Court Martial and Standing Court Martial. |
| **Court Martial Appeal Court** | A specialized appellate body established under section 234 to review decisions of courts martial. |
| **Criminal Organization** | As defined in the Criminal Code (section 467.1(1)) — groups engaged in organized criminal activity. |
| **Criminal Organization Offence** | Offences committed for the benefit of, or in association with, a criminal organization, or related to such a group (e.g., conspiracy, counselling). |
| **Defence Establishment** | Any area or structure under the Minister’s control, including materiel and equipment located there. |
| **Department** | The Department of National Defence (DND), responsible for national defence. |
| **Deputy Minister** | The Deputy Minister of National Defence, supporting the Minister. |
| **Detention Barrack** | A facility designated under section 205(1) for holding service members in disciplinary custody. |
| **Emergency** | Includes insurrection, riot, invasion, armed conflict, or war — real or apprehended. |
| **Enemy** | Armed mutineers, rebels, rioters, or pirates. |
| **Enrol** | To formally admit someone into the Canadian Forces. |
| **Finding of Not Responsible on Account of Mental Disorder** | A legal determination under section 202.14(1) that a person is not criminally responsible due to mental illness. |
| **Grievance Committee** | The Military Grievances External Review Committee, continuing under section 29.16(1). Replaced the earlier "Grievance Board" (repealed in 2013). |
| **Her Majesty’s Canadian Ship** | Any vessel of the Canadian Forces commissioned as a war vessel. |
| **Her Majesty’s Forces** | The armed forces of the Crown, including the Canadian Forces. |
| **Materiel** | All public property (excluding real estate and money) provided to the CAF — includes vessels, vehicles, aircraft, arms, clothing, equipment, and supplies. |
| **Mental Disorder** | A disease of the mind (e.g., psychosis, schizophrenia). |
| **Military** | Refers broadly to all components of the Canadian Forces. |
| **Military Judge** | Includes reserve force judges. |
| **Military Justice** | The system of discipline and adjudication governed by the CSD. |
| **Military Justice System Participant** | A wide range of individuals involved in military justice, including: <br>• Minister <br>• Judge Advocate General <br>• Prosecutors, counsel, military judges <br>• Commanding officers <br>• Custody review officers <br>• Panel members of courts martial <br>• Witnesses <br>• Officers acting under supervision of Chief Military Judge or Court Martial Administrator. |
| **Military Police** | Officers and non-commissioned members appointed under regulations under section 156. |
| **Minister** | The Minister of National Defence (head of DND). |
| **Mutiny** | Collective insubordination or resistance by two or more persons against lawful authority in the forces. |
| **Non-Commissioned Member (NCO)** | Any person in the CAF who is not an officer, including those attached or seconded as NCOs. |
| **Non-Public Property** | Money or property collected through messes, canteens, or unit welfare funds; by-products; proceeds from sales; or property derived from such sources. |
| **Officer** | A person holding a commission in the CAF, including officer cadets, or seconded as an officer. |
| **Penitentiary** | A prison established under the *Corrections and Conditional Release Act*; includes places where individuals are sentenced to life or ≥2 years imprisonment by a civil court. In places without such facilities, a civil prison is used. |
| **Personal Equipment** | Items issued to officers or NCOs for personal use (e.g., uniforms, tools). |
| **Public Property** | All property of Her Majesty in right of Canada (government-owned assets). |
| **Regular Force** | The core component of the CAF as defined in subsection 15(1). |
| **Release** | Termination of service in any manner (e.g., discharge, retirement, dismissal). |
| **Reserve Force** | The component of the CAF as defined in subsection 15(3). |
| **Scale of Punishments** | The formal hierarchy of punishments as set out in subsection 139(1) (e.g., reprimand, reduction in rank, confinement). |
| **Serious Offence** | An offence under the NDA or Criminal Code with a maximum punishment of 5 years or more imprisonment, or one prescribed by regulation under section 467.1(4) of the Criminal Code. |
| **Serious Personal Injury Offence** | Offences involving violence, threats to life/safety, or severe psychological harm — including specific sections of the Criminal Code (e.g., 151–173). |
| **Service Convict** | A person sentenced to life or ≥2 years imprisonment under the CSD. |
| **Service Custody** | Confinement by the Canadian Forces, including in a service prison or detention barrack. |
| **Service Detainee** | A person sentenced to detention under the CSD. |
| **Service Infraction** | A violation created by regulations made by the Governor in Council (e.g., minor misconduct). |
| **Service Offence** | Any offence committed by a member of the CAF while subject to the CSD. |
| **Service Prison** | A facility designated under section 205(1) for disciplinary confinement. |
| **Service Prisoner** | A person sentenced to less than 2 years’ imprisonment under the CSD. |
| **Special Force** | A component of the CAF established under subsection 16(1) (e.g., special operations units). |
| **Summary Hearing** | A hearing conducted under section 163 for minor offences. |
| **Superior Officer** | Any officer or NCO authorized to give lawful commands to another member. |
| **Terrorism Offence** | Includes: <br>• Offences under Criminal Code sections 83.02–83.04, 83.18–83.23 <br>• Serious offences committed for the benefit of or in association with a terrorist group <br>• Offences where the act constitutes terrorist activity <br>• Conspiracy, counselling, or accessory after the fact related to such offences. |
| **Terrorist Activity** | As defined in section 83.01(1) of the Criminal Code. |
| **Terrorist Group** | As defined in section 83.01(1) of the Criminal Code. |
| **Unfit to Stand Trial** | A person unable due to mental disorder to: <br>• Understand the nature of proceedings <br>• Understand consequences <br>• Communicate with counsel. |
| **Unit** | A formally organized body of personnel and materiel in the CAF (as per section 17). |
| **Victim** | A
