Certainly. Below is a **detailed, comprehensive summary** of the *Trust and Loan Companies Act*, based on the text you provided. This summary covers the key elements of the Act, including definitions, structural provisions, and the scope of regulatory application.

---

## 📚 **Detailed Summary of the Trust and Loan Companies Act**

### 🔹 **1. Purpose and Citation**
- The Act is enacted by Her Majesty, with the advice and consent of the Senate and House of Commons of Canada.
- It is officially cited as the **Trust and Loan Companies Act**.
- The primary purpose of the Act is to **regulate trust companies and loan companies** in Canada, ensuring accountability, transparency, and protection of shareholders, creditors, and consumers in financial dealings.

---

### 🔹 **2. Key Definitions (Glossary of Terms)**

This Act establishes a comprehensive and precise legal framework through detailed definitions that form the foundation of its regulatory regime. These definitions clarify key concepts used throughout the legislation:

| Term | Meaning |
|------|--------|
| **Affairs** | Refers to internal relationships among a company, its affiliates, shareholders, directors, and officers — *excludes* the company’s business operations. |
| **Affiliate** | An entity affiliated with another under the meaning of **section 6** (typically sharing control, ownership, or significant influence). |
| **Agency** | The **Financial Consumer Agency of Canada (FCAC)** — responsible for consumer protection in financial services. |
| **Annual Statement** | The annual financial statement of a company under **paragraph 313(1)(a)** of the Companies’ Act. |
| **Assets (for trust companies)** | Includes assets held in respect of **guaranteed trust money** (money held in trust for investment). |
| **Auditor** | Includes a firm of accountants — broadens definition beyond individual auditors. |
| **Bank Holding Company** | A body corporate incorporated under **Part XV of the Bank Act**. |
| **Bearer (security)** | Person in possession of a security payable to bearer or endorsed in blank. |
| **Bearer Form** | A security in bearer form as determined under **subsection 86(2)**. |
| **Beneficial Ownership** | Includes ownership through trustees, legal representatives, agents, or intermediaries — expands who counts as a true owner. |
| **Body Corporate** | Any incorporated entity — regardless of location or form. |
| **Branch** | Includes the head office, agency, and any other office of a company. |
| **Canadian Financial Institution** | Any financial institution incorporated or formed under federal or provincial law. |
| **Central Securities Register (CSR)** | The official register referenced in **section 253** — tracks ownership of securities. |
| **Commissioner** | The FCAC Commissioner appointed under the FCAC Act. |
| **Common-Law Partner** | A person cohabiting in a conjugal relationship for at least one year. |
| **Company** | A body corporate to which this Act applies. |
| **Complainant** | Includes: registered or beneficial owners of securities; former owners; directors/officers; or any person a court deems appropriate to bring claims under sections 339, 343, or 537. |
| **Consumer Provision** | A provision under **section 2 of the FCAC Act** that protects consumers (e.g., disclosure, fairness, transparency). |
| **Court** | Varies by province: Superior Court (Ontario, Quebec), Supreme Court (NS, BC, PEI), Court of Queen’s Bench (NB, MB, SK, AB), Trial Division (NL), Supreme Court (Yukon/NWT), Nunavut Court of Justice (Nunavut). |
| **Court of Appeal** | The appellate court for decisions from lower courts. |
| **Creditor (for trust companies)** | Includes persons who have money deposited as **guaranteed trust money**. |
| **Debt Obligation** | Includes bonds, debentures, notes, or any other evidence of indebtedness — secured or unsecured. |
| **Deposit (for trust companies)** | Money received as **guaranteed trust money**. |
| **Deposit Liabilities** | Obligations of the trust company arising from guaranteed trust money. |
| **Director** | A natural person holding a directorial position; "board of directors" refers collectively. |
| **Entity** | Broad category: includes corporations, trusts, partnerships, funds, government bodies, and foreign political subdivisions. |
| **Equity** | Determined by **regulations** — not fixed in the Act. |
| **Federal Credit Union** | Same meaning as in **section 2 of the Bank Act**. |
| **Federal Financial Institution** | Includes companies, banks, co-op credit associations, insurance companies, or fraternal benefit societies under federal Acts. |
| **Fiduciary** | Any person acting in a fiduciary capacity (e.g., executor, trustee). |
| **Financial Institution** | Broad definition including: companies, banks, co-ops, insurers, trust/loan corporations, securities dealers, and foreign institutions engaged in financial services. |
| **Foreign Institution** | Engaged in banking, trust, insurance, or securities; incorporated outside Canada. |
| **Former Act** | Refers to the **Trust Companies Act** or **Loan Companies Act** (predecessor legislation). |
| **Former-Act Company** | A body corporate referred to in **paragraph 12(b) or (c)** — likely former trust or loan companies. |
| **Form of Proxy** | A written or printed form completed and executed by a shareholder to appoint a proxy. |
| **Going-Private Transaction** | As defined in **regulations** — likely refers to a transaction where a company is acquired by a private party, reducing public ownership. |
| **Guarantee** | Includes a **letter of credit** — expands the scope of guarantees. |
| **Guaranteed Trust Money** | Money received by a trust company for investment, subject to a guarantee of interest or principal repayment. |
| **Head Office** | The office required to be maintained under **section 242**. |
| **Holder** | For a certificate: person in possession; for shares: shareholder as defined in section 7. |
| **Holding Body Corporate** | A holding company under **section 4** — parent entity. |
