### **Detailed Summary of the Regulation: Assignment of Public Lands to the Minister of the Environment – Lake Saint-François National Wildlife Area**

---

#### **1. Legal Basis and Purpose**

This regulation is issued under the authority of the **Canada Wildlife Act**, specifically **subsection 4(1)**, which empowers the Governor General in Council (acting on the recommendation of the Minister of the Environment) to designate and assign public lands for the purposes of **wildlife research, conservation, and interpretation**.

- **Governing Law**: *Canada Wildlife Act*, S.C. 1973–74, c. 21  
- **Authority**: The Governor General in Council, on the recommendation of the Minister of the Environment, exercises administrative power to assign land to the federal government for environmental protection.
- **Objective**: To ensure that specific parcels of public land are protected and managed for the **conservation and scientific study of wildlife**, including habitat preservation, ecological monitoring, and public education.

---

#### **2. Geographic Scope and Jurisdiction**

The lands designated fall within:

- **Province**: Quebec  
- **County**: Huntingdon  
- **Township**: Dundee  
- **Geographic Areas**:
  - The **"broken front range"** (a topographical feature in the region)
  - The **range between Salmon River, Pike Creek, and Bittern Creek**

This area is recognized as a **National Wildlife Area (NWA)** — a category of protected land established under Canadian environmental law to safeguard critical habitats for native species.

---

#### **3. Land Description and Legal Basis**

The land is described in detail through **a series of deeds** recorded in the Registry Office at Huntingdon. Each parcel is defined by:

- **Lot numbers** (e.g., lot 25A, 26B, etc.)
- **Specific portions** of lots (e.g., "that part of lot 25A described in a deed...")
- **Deed dates** and **deed numbers** (e.g., deposited as 74381 on February 15, 1971)
- **Parties involved** (private individuals, corporations, or municipal bodies transferring land to Her Majesty in right of Canada)

The land is legally transferred to the Crown (Her Majesty in right of Canada) via these deeds, and the **Minister of the Environment** is granted authority over the land as a result.

---

#### **4. Structure of the Land Designation (34 Parcels + 2 Additional Parcels)**

The regulation outlines **34 distinct parcels** (Firstly to Thirty-Fourthly), followed by **two additional parcels** described under "Firstly and Secondly" in a separate geographic zone (the range between Salmon River, Pike Creek, and Bittern Creek).

##### **A. 34 Parcels in the "Broken Front Range" Zone**

| Number | Description |
|--------|-------------|
| 1 | Whole of lots 25B, 26B; part of lot 25A (deed no. 74381, Feb 15, 1971) |
| 2 | Parts of lots 29A, 30A, 30B (deed no. 74382, Feb 15, 1971) |
| 3 | Part of lot 33A (deed no. 74389, Feb 16, 1971) |
| 4 | Parts of lots 21A–24B (deed no. 74413, Feb 24, 1971) |
| 5 | Parts of lots 19B, 20B (deed no. 74417, Feb 24, 1971) |
| 6 | Part of lot 25C (deed no. 74434, Mar 11, 1971) |
| 7 | Part of lot 26C (deed no. 74441, Mar 19, 1971) |
| 8 | Parts of lots 25A, 26A (deed no. 74445, Mar 23, 1971) |
| 9 | Parts of lots 15A, 16A, 17A (deed no. 74450, Mar 23, 1971) |
| 10 | Part of lot 26C (deed no. 74454, Mar 23, 1971) |
| 11 | Part of lot 5C (deed no. 74456, Mar 23, 1971) |
| 12 | Parts of lots 19A, 20A (deed no. 74519, Apr 15, 1971) |
| 13 | Part of lot 25C (deed no. 74556, Apr 27, 1971) |
| 14 | Parts of lots 32A, 33A (deed no. 74736, Jun 8, 1971) |
| 15 | Parts of lots 27, 28A (deed no. 74810, Jun 25, 1971) |
| 16 | Parts of lots 30B, 30D, 31A, 31B, 31C (deed no. 74855, Jul 7, 1971) |
| 17 | Part of lot 27 (deed no. 74855, Jul 7, 1971) |
| 18 | Part of lot 26C (deed no. 74935, Jul 21, 1971) |
| 19 | Part of lot 27 (deed no. 75375, Nov 8, 1971) |
| 20 | Part of lot 27 (deed no. 75452, Nov 25, 1971) |
| 21 | Part of lot 26C (deed no. 75465, Nov 30, 1971) |
| 22 | Whole of lots 30C, 31D; parts of 31A, 31B, 31C (deed no. 75467, Nov 30, 1971) |
| 23 | Part of lot 28A (deed no. 75611, Jan 13, 1972) |
| 24 | Whole of lots 8 and 9 (deed no. 75673, Feb 7, 1972) |
| 25 | Parts of lots 27, 28A (deed no. 75774, Mar 7, 1972) |
| 26 | Parts of lots 25C, 26C, 27, 28A (deed no. 75779, Mar 7, 1972) |
| 27 | Part of lot 10 (deed no. 75858, Apr 5, 1972) |
| 28 | Part of lot 25C (deed no. 77754, Mar 30, 1973) |
| 29 | Part of lot 24C (deed no. 77938, Apr 26, 1973) |
| 30 | Part of lot 26C (deed no. 79379, Oct 24, 1973) |
| 31 | Parts of lots 33A, 34B, 35A (deed no. 79631, Nov 22, 1973) |
| 32 | Whole of lot 35r; parts of 34b, 35a, 35q (deed no. 87293, Apr 29, 1977) |
| 33 | Part of lot 27 (deed no. 99170, Apr 8, 1983) |
| 34 | Parts of lots 26c, 27, 28a (deed no. 99169, Apr 8, 1983) |

> **Note**: The deed numbers and dates show that the land transfers occurred over a **22-year period (1971–1983)**, indicating a gradual consolidation of land ownership by the Crown.

##### **B. Two Additional Parcels in the "Range Between Salmon River, Pike Creek, and Bittern Creek"**

| Description | Details
