**Detailed Summary of the Australia and New Zealand Tariff Preference Maintenance Order**

---

### **1. Purpose of the Regulation**

This regulation, officially titled the *Australia and New Zealand Tariff Preference Maintenance Order*, establishes and maintains preferential customs duty rates for goods imported from **Australia and New Zealand** into Canada. It is a statutory instrument enacted under the authority of the *Customs Tariff* and specifically designed to preserve and extend existing trade preferences previously granted to Canada by Australia and New Zealand.

The primary objective is to **extend tariff advantages** (i.e., reduced or zero customs duties) for specific Canadian tariff items (classified by HS Code) originating in Australia or New Zealand, effective from specified dates, with gradual reductions over time.

---

### **2. Legal Authority**

The Order is made under:
- **Section 12.1** and **subsection 62(1)** of the *Customs Tariff*.
- It is issued by **His Excellency the Governor General in Council**, on the recommendation of the **Minister of Finance**, reflecting the federal government's power to administer trade policy and customs duties.

This legislative basis ensures that the Order is both legally sound and aligned with Canada’s international trade obligations.

---

### **3. Key Provisions of the Order**

The Order modifies **Schedule I and Schedule II** of the *Customs Tariff*, which contain the official duty schedules for imported goods. The changes are structured around **tariff item numbers (HS codes)** and apply different duty rates depending on the **date of import**.

#### **General Structure of Amendments**

| Part | Description |
|------|-------------|
| **Part I** | Adds new preferential duty rates under the "Most-Favoured-Nation Tariff" (MFN) heading for goods from Australia and New Zealand. |
| **Part II** | Replaces existing MFN rates for Australia or New Zealand with new, preferential rates. |
| **Part III** | Adds preferential rates after the MFN rates in Schedule II, particularly for goods that were previously subject to higher duties. |

> Note: The term "MFN" refers to the standard rate applied to most countries. By assigning preferential rates to Australia and New Zealand, Canada provides them with a more favorable treatment than other nations.

---

### **4. Key Tariff Items and Duty Rates**

Below is a detailed breakdown of the tariff items and their respective duty reductions, organized by HS code and effective date.

| HS Code | Product Description | Duty Rate (Effective Dates) |
|--------|----------------------|------------------------------|
| **0402.99.10** | Other dried fruits (e.g., raisins, prunes) | <ul><li>4.88¢/kg (Jan 1, 1995)</li><li>4.25¢/kg (Jan 1, 1996)</li><li>3.62¢/kg (Jan 1, 1997)</li></ul> |
| **0410.00.00** | Other dried fruits and nuts | <ul><li>14% (Jan 1, 1995)</li><li>13% (Jan 1, 1996)</li><li>12% (Jan 1, 1997)</li></ul> |
| **0811.20.00** | Dried fruits (e.g., dates, figs) | <ul><li>6.9% (Jan 1, 1995)</li><li>6.3% (Jan 1, 1996)</li><li>5.5% (Jan 1, 1997)</li></ul> |
| **0811.90.90** | Other dried fruits | <ul><li>Free (0 duty) from Jun 13, 1995 onward</li></ul> *(Note: Previously charged duty; now free after June 13, 1995)* |
| **1512.19.20** | Dried fruit and nut mixtures | <ul><li>11.5% → 10.5% → 9.1%</li></ul> |
| **1512.29.00** | Other dried fruits and nuts | <ul><li>11.6% → 10.7% → 9.8%</li></ul> |
| **1515.50.90** | Dried fruit and nut mixtures | <ul><li>11.5% → 10.5% → 9.1%</li></ul> |
| **1515.90.99** | Other dried fruit and nut mixtures | <ul><li>11.5% → 10.5% → 9.1%</li></ul> |
| **1517.90.99** | Dried fruit and nut mixtures | <ul><li>11.5% → 10.5% → 9.1%</li></ul> |
| **1519.11.00** | Dried fruits and nuts | <ul><li>9.3% → 8.6% → 7.6%</li></ul> |
| **1519.12.00** | Dried fruits and nuts | <ul><li>9.3% → 8.6% → 7.6%</li></ul> |
| **1519.19.00** | Dried fruits and nuts | <ul><li>9.3% → 8.6% → 7.6%</li></ul> |
| **1519.20.90** | Dried fruits and nuts | <ul><li>9.3% → 8.6% → 7.6%</li></ul> |
| **1701.91.00** | Other agricultural products | <ul><li>$22.05/tonne (from Jan 1, 1995)</li></ul> |
| **1701.99.00** | Other agricultural products | <ul><li>$22.05/tonne</li></ul> |
| **1702.90.50** | Agricultural products | <ul><li>$22.05/tonne</li></ul> |
| **1704.10.00** | Dried fruits and nuts | <ul><li>12.1% → 11.2% → 10.3%</li></ul> |
| **1704.90.90** | Dried fruits and nuts | <ul><li>12.1% → 11.2% → 10.3%</li></ul> |
| **1806.31.00** | Other agricultural products | <ul><li>9% → 8% → 7%</li></ul> |
| **1806.32.00** | Other agricultural products | <ul><li>9% → 8% → 7%</li></ul> |
| **1806.90.11** | Agricultural products | <ul><li>8.8% → 7.6% → 6.4%</li></ul> |
| **1806.90.90** | Agricultural products | <ul><li>9% → 8% → 6.9%</li></ul> |
| **1901.90.11** | Agricultural products | <ul><li>13.1% (Aug 1, 1995) → 11.2% (Jan 1, 1996) → 9.3% (Jan 1, 1997)</li></ul> |
| **1905.90.39** | Agricultural products | <ul><li>12.1% → 11.2% → 10.3%</li></ul> |
| **2007.91.00** | Agricultural products | <ul><li>7.3% → 7.1% → 6.7%</li></ul> |
| **2007.99.90** | Agricultural products | <ul><li>7.3% → 7.1% → 6.7%</li></ul> |
| **2102.10.20** | Dried fruits and nuts | <ul><li>4.4% → 3.8% → 3%</li></ul> |
| **2103.10.00** | Dried fruits and nuts | <ul><li>11.6% → 10.7% → 9.5%</li></ul> |
| **2103.90.20** | Dried fruits and nuts | <ul><li>9.3% → 8.6% → 7.9%</li></ul> |
| **2103.90.90** | Dried fruits and nuts | <ul><li>
